# loss accuracy
1573.16064453125 0.142
1080.89013671875 0.118
766.0592651367188 0.117
564.9519653320312 0.117
436.4449157714844 0.117
354.1402282714844 0.117
301.29669189453125 0.118
267.3233947753906 0.121
245.48060607910156 0.127
231.4463653564453 0.143
222.437255859375 0.163
216.658447265625 0.196
212.9547576904297 0.226
210.58152770996094 0.239
209.06149291992188 0.261
208.0883331298828 0.259
207.46511840820312 0.273
207.0662078857422 0.282
206.8107147216797 0.276
206.64715576171875 0.283
206.5426788330078 0.282
206.4756317138672 0.281
206.43295288085938 0.282
206.4053497314453 0.28
206.38778686523438 0.278
206.3766632080078 0.277
206.36924743652344 0.276
206.3648681640625 0.278
206.3619384765625 0.28
206.36007690429688 0.28
206.35873413085938 0.28
206.35801696777344 0.282
206.35763549804688 0.282
206.35723876953125 0.282
206.35699462890625 0.283
206.3570098876953 0.282
206.3568572998047 0.282
206.35667419433594 0.284
206.35658264160156 0.284
206.35675048828125 0.281
206.35655212402344 0.284
206.35667419433594 0.284
206.356689453125 0.284
206.35659790039062 0.285
206.35658264160156 0.283
206.35653686523438 0.278
206.35655212402344 0.29
206.3566436767578 0.284
206.35662841796875 0.284
206.3566436767578 0.289
206.35659790039062 0.274
206.35655212402344 0.278
206.35646057128906 0.269
206.3565216064453 0.269
206.35653686523438 0.248
206.3565673828125 0.237
206.35658264160156 0.229
206.35655212402344 0.231
206.35658264160156 0.234
206.35659790039062 0.226
206.35659790039062 0.219
206.35662841796875 0.203
206.3566131591797 0.218
206.35662841796875 0.202
206.35662841796875 0.203
206.35662841796875 0.2
206.3566131591797 0.192
206.3566436767578 0.187
206.3566436767578 0.177
206.3566436767578 0.169
206.3566436767578 0.169
206.3566436767578 0.155
206.3566436767578 0.144
206.3566436767578 0.136
206.3566436767578 0.137
206.3566436767578 0.134
206.3566436767578 0.13
206.3566436767578 0.13
206.3566436767578 0.128
206.3566436767578 0.132
206.3566436767578 0.129
206.3566436767578 0.132
206.3566436767578 0.129
206.3566436767578 0.131
206.3566436767578 0.129
206.3566436767578 0.127
206.3566436767578 0.127
206.3566436767578 0.124
206.3566436767578 0.128
206.3566436767578 0.126
206.3566436767578 0.127
206.3566436767578 0.125
206.3566436767578 0.128
206.3566436767578 0.126
206.3566436767578 0.128
206.3566436767578 0.128
206.3566436767578 0.128
206.3566436767578 0.126
206.3566436767578 0.125
206.3566436767578 0.128
